observation_id,species_name,species_type,latitude,longitude,date_observed,count,quality_grade,debrecen_station
IN026,Sturnus vulgaris,Bird,47.5578,21.5022,2026-05-26,4,casual,DEB-KER01
IN027,Pica pica,Bird,47.5578,21.5022,2026-05-27,1,research,DEB-KER01
IN028,Plantago major,Plant,47.5578,21.5022,2026-05-28,12,casual,DEB-KER01
IN029,Urtica dioica,Plant,47.5578,21.5022,2026-05-29,18,research,DEB-KER01
IN030,Trifolium repens,Plant,47.5578,21.5022,2026-05-30,25,casual,DEB-KER01
IN031,Ranunculus acris,Plant,47.5578,21.5022,2026-05-31,8,research,DEB-KER01
IN032,Vanessa atalanta,Insect,47.5578,21.5022,2026-06-01,1,casual,DEB-KER01
IN033,Pieris rapae,Insect,47.5578,21.5022,2026-06-02,3,research,DEB-KER01
IN034,Harmonia axyridis,Insect,47.5578,21.5022,2026-06-03,2,research,DEB-KER01
IN035,Turdus merula,Bird,47.5436,21.6230,2026-05-21,2,research,DEB-KER15
IN036,Parus major,Bird,47.5436,21.6230,2026-05-22,3,research,DEB-KER15
IN037,Erithacus rubecula,Bird,47.5436,21.6230,2026-05-23,1,research,DEB-KER15
IN038,Sylvia communis,Bird,47.5436,21.6230,2026-05-24,2,research,DEB-KER15
IN039,Carduelis carduelis,Bird,47.5436,21.6230,2026-05-25,1,research,DEB-KER15
IN040,Motacilla alba,Bird,47.5436,21.6230,2026-05-26,2,casual,DEB-KER15
IN041,Sambucus nigra,Plant,47.5436,21.6230,2026-05-27,3,research,DEB-KER15
IN042,Urtica dioica,Plant,47.5436,21.6230,2026-05-28,22,research,DEB-KER15
IN043,Plantago major,Plant,47.5436,21.6230,2026-05-29,14,casual,DEB-KER15
IN044,Trifolium repens,Plant,47.5436,21.6230,2026-05-30,28,casual,DEB-KER15
IN045,Ranunculus acris,Plant,47.5436,21.6230,2026-05-31,9,research,DEB-KER15
IN046,Apis mellifera,Insect,47.5436,21.6230,2026-06-01,7,research,DEB-KER15
IN047,Pieris rapae,Insect,47.5436,21.6230,2026-06-02,4,research,DEB-KER15
IN048,Vanessa atalanta,Insect,47.5436,21.6230,2026-06-03,2,casual,DEB-KER15
IN049,Turdus merula,Bird,47.5050,21.6358,2026-05-21,1,research,DEB-KER07
IN050,Parus major,Bird,47.5050,21.6358,2026-05-22,2,research,DEB-KER07
IN051,Sylvia communis,Bird,47.5050,21.6358,2026-05-23,1,research,DEB-KER07
IN052,Carduelis carduelis,Bird,47.5050,21.6358,2026-05-24,1,casual,DEB-KER07
IN053,Motacilla alba,Bird,47.5050,21.6358,2026-05-25,2,research,DEB-KER07
IN054,Corvus cornix,Bird,47.5050,21.6358,2026-05-26,2,research,DEB-KER07
IN055,Urtica dioica,Plant,47.5050,21.6358,2026-05-27,16,research,DEB-KER07
IN056,Plantago major,Plant,47.5050,21.6358,2026-05-28,10,casual,DEB-KER07
IN057,Trifolium repens,Plant,47.5050,21.6358,2026-05-29,20,casual,DEB-KER07
IN058,Ranunculus acris,Plant,47.5050,21.6358,2026-05-30,6,research,DEB-KER07
IN059,Sambucus nigra,Plant,47.5050,21.6358,2026-05-31,1,research,DEB-KER07
IN060,Pieris rapae,Insect,47.5050,21.6358,2026-06-01,2,casual,DEB-KER07
IN061,Harmonia axyridis,Insect,47.5050,21.6358,2026-06-02,1,research,DEB-KER07
IN062,Turdus merula,Bird,47.4474,21.6306,2026-05-21,3,research,DEB-KER14
IN063,Parus major,Bird,47.4474,21.6306,2026-05-22,2,research,DEB-KER14
IN064,Erithacus rubecula,Bird,47.4474,21.6306,2026-05-23,2,research,DEB-KER14
IN065,Sylvia communis,Bird,47.4474,21.6306,2026-05-24,3,research,DEB-KER14
IN066,Carduelis carduelis,Bird,47.4474,21.6306,2026-05-25,2,research,DEB-KER14
IN067,Motacilla alba,Bird,47.4474,21.6306,2026-05-26,3,casual,DEB-KER14
IN068,Corvus cornix,Bird,47.4474,21.6306,2026-05-27,2,research,DEB-KER14
IN069,Sturnus vulgaris,Bird,47.4474,21.6306,2026-05-28,5,casual,DEB-KER14
IN070,Pica pica,Bird,47.4474,21.6306,2026-05-29,1,research,DEB-KER14
IN071,Urtica dioica,Plant,47.4474,21.6306,2026-05-30,25,research,DEB-KER14
IN072,Plantago major,Plant,47.4474,21.6306,2026-05-31,16,casual,DEB-KER14
IN073,Trifolium repens,Plant,47.4474,21.6306,2026-06-01,32,casual,DEB-KER14
IN074,Ranunculus acris,Plant,47.4474,21.6306,2026-06-02,10,research,DEB-KER14
IN075,Sambucus nigra,Plant,47.4474,21.6306,2026-06-03,2,research,DEB-KER14
IN076,Apis mellifera,Insect,47.4474,21.6306,2026-06-04,9,casual,DEB-KER14
IN077,Pieris rapae,Insect,47.4474,21.6306,2026-06-05,6,research,DEB-KER14
IN078,Vanessa atalanta,Insect,47.4474,21.6306,2026-06-06,3,casual,DEB-KER14
IN079,Harmonia axyridis,Insect,47.4474,21.6306,2026-06-07,2,research,DEB-KER14
IN080,Turdus merula,Bird,47.5482,21.6694,2026-05-21,1,research,DEB-KER05
IN081,Parus major,Bird,47.5482,21.6694,2026-05-22,2,research,DEB-KER05
IN082,Erithacus rubecula,Bird,47.5482,21.6694,2026-05-23,1,research,DEB-KER05
IN083,Carduelis carduelis,Bird,47.5482,21.6694,2026-05-24,1,casual,DEB-KER05
IN084,Motacilla alba,Bird,47.5482,21.6694,2026-05-25,2,research,DEB-KER05
IN085,Urtica dioica,Plant,47.5482,21.6694,2026-05-26,19,research,DEB-KER05
IN086,Plantago major,Plant,47.5482,21.6694,2026-05-27,11,casual,DEB-KER05
IN087,Trifolium repens,Plant,47.5482,21.6694,2026-05-28,24,casual,DEB-KER05
IN088,Ranunculus acris,Plant,47.5482,21.6694,2026-05-29,7,research,DEB-KER05
IN089,Pieris rapae,Insect,47.5482,21.6694,2026-05-30,3,research,DEB-KER05
IN090,Harmonia axyridis,Insect,47.5482,21.6694,2026-05-31,2,casual,DEB-KER05
IN091,Turdus merula,Bird,47.5577,21.8380,2026-05-21,4,research,DEB-KER12
IN092,Parus major,Bird,47.5577,21.8380,2026-05-22,5,research,DEB-KER12
IN093,Erithacus rubecula,Bird,47.5577,21.8380,2026-05-23,3,research,DEB-KER12
IN094,Sylvia communis,Bird,47.5577,21.8380,2026-05-24,4,research,DEB-KER12
IN095,Carduelis carduelis,Bird,47.5577,21.8380,2026-05-25,3,research,DEB-KER12
IN096,Motacilla alba,Bird,47.5577,21.8380,2026-05-26,4,research,DEB-KER12
IN097,Corvus cornix,Bird,47.5577,21.8380,2026-05-27,3,research,DEB-KER12
IN098,Sturnus vulgaris,Bird,47.5577,21.8380,2026-05-28,7,casual,DEB-KER12
IN099,Pica pica,Bird,47.5577,21.8380,2026-05-29,2,research,DEB-KER12
IN100,Tawny Owl,Bird,47.5577,21.8380,2026-05-30,1,research,DEB-KER12
IN101,Sambucus nigra,Plant,47.5577,21.8380,2026-05-31,4,research,DEB-KER12
IN102,Urtica dioica,Plant,47.5577,21.8380,2026-06-01,28,research,DEB-KER12
IN103,Plantago major,Plant,47.5577,21.8380,2026-06-02,18,casual,DEB-KER12
IN104,Trifolium repens,Plant,47.5577,21.8380,2026-06-03,35,casual,DEB-KER12
IN105,Ranunculus acris,Plant,47.5577,21.8380,2026-06-04,12,research,DEB-KER12
IN106,Apis mellifera,Insect,47.5577,21.8380,2026-06-05,10,casual,DEB-KER12
IN107,Pieris rapae,Insect,47.5577,21.8380,2026-06-06,7,research,DEB-KER12
IN108,Vanessa atalanta,Insect,47.5577,21.8380,2026-06-07,4,casual,DEB-KER12
IN109,Harmonia axyridis,Insect,47.5577,21.8380,2026-06-08,3,research,DEB-KER12
IN110,Turdus merula,Bird,47.5977,21.5802,2026-05-21,2,research,DEB-KER18
IN111,Parus major,Bird,47.5977,21.5802,2026-05-22,2,research,DEB-KER18
IN112,Erithacus rubecula,Bird,47.5977,21.5802,2026-05-23,2,research,DEB-KER18
IN113,Sylvia communis,Bird,47.5977,21.5802,2026-05-24,2,research,DEB-KER18
IN114,Carduelis carduelis,Bird,47.5977,21.5802,2026-05-25,1,research,DEB-KER18
IN115,Motacilla alba,Bird,47.5977,21.5802,2026-05-26,3,casual,DEB-KER18
IN116,Corvus cornix,Bird,47.5977,21.5802,2026-05-27,2,research,DEB-KER18
IN117,Urtica dioica,Plant,47.5977,21.5802,2026-05-28,20,research,DEB-KER18
IN118,Plantago major,Plant,47.5977,21.5802,2026-05-29,12,casual,DEB-KER18
IN119,Trifolium repens,Plant,47.5977,21.5802,2026-05-30,26,casual,DEB-KER18
IN120,Ranunculus acris,Plant,47.5977,21.5802,2026-05-31,8,research,DEB-KER18
IN121,Pieris rapae,Insect,47.5977,21.5802,2026-06-01,3,research,DEB-KER18
IN122,Harmonia axyridis,Insect,47.5977,21.5802,2026-06-02,2,casual,DEB-KER18
IN123,Turdus merula,Bird,47.4644,21.5886,2026-05-21,3,research,DEB-KER03
IN124,Parus major,Bird,47.4644,21.5886,2026-05-22,3,research,DEB-KER03
IN125,Erithacus rubecula,Bird,47.4644,21.5886,2026-05-23,2,research,DEB-KER03
IN126,Sylvia communis,Bird,47.4644,21.5886,2026-05-24,3,research,DEB-KER03
IN127,Carduelis carduelis,Bird,47.4644,21.5886,2026-05-25,2,research,DEB-KER03
IN128,Motacilla alba,Bird,47.4644,21.5886,2026-05-26,3,casual,DEB-KER03
IN129,Corvus cornix,Bird,47.4644,21.5886,2026-05-27,2,research,DEB-KER03
IN130,Sambucus nigra,Plant,47.4644,21.5886,2026-05-28,5,research,DEB-KER03
IN131,Urtica dioica,Plant,47.4644,21.5886,2026-05-29,24,research,DEB-KER03
IN132,Plantago major,Plant,47.4644,21.5886,2026-05-30,14,casual,DEB-KER03
IN133,Trifolium repens,Plant,47.4644,21.5886,2026-05-31,30,casual,DEB-KER03
IN134,Ranunculus acris,Plant,47.4644,21.5886,2026-06-01,9,research,DEB-KER03
IN135,Apis mellifera,Insect,47.4644,21.5886,2026-06-02,8,casual,DEB-KER03
IN136,Pieris rapae,Insect,47.4644,21.5886,2026-06-03,5,research,DEB-KER03
IN137,Vanessa atalanta,Insect,47.4644,21.5886,2026-06-04,3,casual,DEB-KER03
IN138,Turdus merula,Bird,47.4616,21.6330,2026-05-21,2,research,DEB-KER04
IN139,Parus major,Bird,47.4616,21.6330,2026-05-22,2,research,DEB-KER04
IN140,Erithacus rubecula,Bird,47.4616,21.6330,2026-05-23,1,research,DEB-KER04
IN141,Sylvia communis,Bird,47.4616,21.6330,2026-05-24,2,research,DEB-KER04
IN142,Carduelis carduelis,Bird,47.4616,21.6330,2026-05-25,1,casual,DEB-KER04
IN143,Motacilla alba,Bird,47.4616,21.6330,2026-05-26,2,research,DEB-KER04
IN144,Corvus cornix,Bird,47.4616,21.6330,2026-05-27,1,research,DEB-KER04
IN145,Urtica dioica,Plant,47.4616,21.6330,2026-05-28,17,research,DEB-KER04
IN146,Plantago major,Plant,47.4616,21.6330,2026-05-29,10,casual,DEB-KER04
IN147,Trifolium repens,Plant,47.4616,21.6330,2026-05-30,22,casual,DEB-KER04
IN148,Ranunculus acris,Plant,47.4616,21.6330,2026-05-31,6,research,DEB-KER04
IN149,Pieris rapae,Insect,47.4616,21.6330,2026-06-01,2,research,DEB-KER04
IN150,Harmonia axyridis,Insect,47.4616,21.6330,2026-06-02,1,casual,DEB-KER04
